Название,Тип Постройки,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Страница объекта в интернет,Контактный телефон,Адрес,Долгота,Широта
Галерея Богородское,Выставочные центры,None,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,http://vzmoscow.ru/,8 (499) 168-30-15,Открытое шоссе+++ д.5+++ корп.6,55.8134778,37.73275
Галерея Дом Нащокина,Выставочные центры,12.00-21.00,12.00-21.00,12.00-21.00,12.00-21.00,12.00-21.00,12.00-21.00,12.00-21.00,http://domnaschokina.ru/,8 (495) 699-11-78+++ 8 (495) 699-47-74,Покровка+++ д. 3/7+++ стр. 1,55.7588139,37.6399222
Галерея Загорье,Выставочные центры,None,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,11.00-20.00,http://gvzm-nasledie.ru/,8 (495) 329-00-27+++ 8 (495) 329-60-39,Лебедянская ул.+++ д.24+++ корп.2,55.5840389,37.6861
Галерея Измайлово,Выставочные центры,None,11.00-21.00,11.00-21.00,11.00-21.00,11.00-21.00,11.00-21.00,11.00-21.00,http://gallery-izmailovo.ru/,8 (499) 166-44-96,Измайловский проезд+++ д.4,55.7909056,37.7701917
Галерея Искусств Vincent,Выставочные центры,None,None,None,None,None,None,None,None,None,Кривоколенный пер+++ д. 12,55.7621833,37.6367722
Галерея искусств Зураба Церетели,Музеи,None,12.00-20.00,12.00-20.00,12.00-20.00,12.00-22.00,12.00-20.00,12.00-19.00,http://www.tsereteli.ru/,8 (495) 637-41-50+++ 8 (495) 637-47-71+++ 8 (495) 637-25-69,Пречистенка+++ 19,55.7411611,37.5931972
Галерея картин Наталии Григорьевой,Выставочные центры,None,None,None,None,None,None,None,http://www.ngrigorieva.ru/,8 (495) 609-91-12+++ 8 (925) 882-41-85,Ермолаевский пер.+++ д. 5/1,55.7639722,37.5902917
Галерея Манеж,Музеи,None,12.00-22.00,12.00-22.00,12.00-22.00,12.00-22.00,12.00-22.00,12.00-22.00,http://www.moscowmanege.ru/,8 (495) 645-92-77,Манежная пл.+++ д.1,55.7534472,37.6123111
Галерея на Ленивке,Выставочные центры,None,11.00-19.00,11.00-19.00,11.00-19.00,11.00-19.00,11.00-19.00,None,None,8 (495) 691-11-60,Ленивка ул.+++ 6/7+++ под. 2+++ 3-й эт.,55.7474417,37.6080889
Галерея на Солянке,Выставочные центры,None,14.00-22.00,14.00-22.00,14.00-22.00,12.00-00.00,12.00-22.00,12.00-22.00,http://solgallery.ru/,8 (495) 621-55-72,Солянка ул.+++ д. 1/2+++ стр. 2 (вход с ул. Забелина),55.7545056,37.6386417
