Название,Тип Постройки,Mon,Tue,Wed,Thu,Fri,Sat,Sun,Страница объекта в интернете,Контактный Телефон,Адрес,Долгота,Широта,Круглосуточно
Измайловский сад,Сады и парки,08.00-23.00,08.00-23.00,08.00-23.00,08.00-23.00,08.00-23.00,08.00-23.00,08.00-23.00,None,+7 (812) 703-40-40,"СПб, наб. Фонтанки, д. 114",59.91906700000001,30.31338,0
Таврический сад,Сады и парки,12.00-1.00,12.00-1.00,12.00-1.00,12.00-1.00,12.00-1.00,12.00-1.00,12.00-1.00,None,None,"СПб, ул. Кирочная/ ул. Таврическая",59.944986,30.378094,0
Александрино,Сады и парки,None,None,None,None,None,None,None,None,None,"СПб, пр. Ветеранов",59.833,30.19180200000001,1
Марсово поле,Сады и парки,None,None,None,None,None,None,None,None,None,"СПб, наб. Лебяжьей канавки / наб. Мойки",59.931634,30.307837,1
Полюстровский парк,Сады и парки,None,None,None,None,None,None,None,None,None,"СПб, пр. Металлистов / ш. Революции",59.96041700000001,30.445306,1
Парк Интернационалистов,Сады и парки,None,None,None,None,None,None,None,None,None,"СПб, пр. Славы / ул. Бухарестская",59.86214,30.389485,1
Парк Авиаторов,Сады и парки,None,None,None,None,None,None,None,None,None,"СПб, пр. Новоизмайловский / ул. Бассейная",59.864259,30.326226,1
Парк Монрепо,Сады и парки,09.00-21.00,09.00-21.00,09.00-21.00,09.00-21.00,09.00-21.00,09.00-21.00,09.00-21.00,None,+7 (813) 782-59-97,"Ленобласть, г. Выборг, ул. Физкультурная / ул. 2-я Южная",60.701928,28.767406,0
Невский лесопарк,Сады и парки,None,None,None,None,None,None,None,None,None,"Ленобласть, дер. Новосаратовка",59.840062,30.528068,1
Вепсский Лес,Сады и парки,None,None,None,None,None,None,None,None,+7 (921) 971-94-15,"Ленобласть, п. Шугозеро, ул. Советская, д.90",59.92865,34.211853000000005,1
Александрия,Сады и парки,09.00-22.00,09.00-22.00,09.00-22.00,09.00-22.00,09.00-22.00,09.00-22.00,09.00-22.00,None,+7 (812) 450-52-87,"СПб, г. Петродворец, пр. Санкт-Петербургский / Финский залив (ГМЗ Петергоф)",59.87974200000001,29.911312,0
Парк имени 9-го Января,Сады и парки,None,None,None,None,None,None,None,None,None,"СПб, пр. Стачек / ул. Тихомировская",59.890568,30.275722,1
Пискаревский парк,Сады и парки,None,None,None,None,None,None,None,None,None,"СПб, пр. Непокоренных / ул. Бутлерова",60.002436,30.397318,1
